speaker,topic,episode_id,episode_name,episode_subdivision,text
2,uncategorized,uncategorized,uncategorized,uncategorized,"Before we-- before we start the debate here are the rules. The candidates have one minute to respond to our questions and 30 seconds to respond to our follow-up. Any candidate who is attacked by another candidate gets 30 seconds for rebuttal. Here's how we'll keep time, after a question is asked the green light goes on. When there are 15 seconds left the candidate gets a yellow warning light."
2,uncategorized,uncategorized,uncategorized,uncategorized,"And when time's up the light turns red. That means stop talking. (LAUGHTER) Those are the rules. So let's get started. You will each have one minute for an opening statement to share your thoughts about the attacks in Paris and lay out your vision for America. First, Senator Sanders."
3,uncategorized,uncategorized,uncategorized,uncategorized,"Well, John, let me concur with you and with all Americans who are shocked and disgusted by what we saw in Paris yesterday. Together, leading the world this country will rid our planet of this barbarous organization called ISIS. I'm running for president because as I go around this nation I talk to a lotta people. And what I hear is peoples' concerned that the economy we have is a rigged economy."
3,uncategorized,uncategorized,uncategorized,uncategorized,"People are working longer hours for lower wages. And almost of all the income and wealth goes to the top 1%. And then on top of that we got a corrupt campaign finance system in which millionaires and billionaires are pouring huge sums of money into super pacs heavily influencing the political process. What my campaign is about is a political revolution. Millions of people standing up and saying, ""Enough is enough. Our government belongs to all of us and not just a handful of billionaires."""
2,uncategorized,uncategorized,uncategorized,uncategorized,"All right, Senator Sanders. Secretary Clinton."
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, our prayers are with the people of France tonight. But that is not enough. We need to have a resolve that will bring the world together to root out the kind of radical jihadist ideology that motivates organizations like ISIS, the barbaric, ruthless, violence jihadist, terrorist group."
1,uncategorized,uncategorized,uncategorized,uncategorized,This election is not only about electing a president. It's also about choosing our next commander in chief. And I will be laying out in detail what I think we need to do with our friends and allies in Europe and elsewhere to do a better job of coordinating efforts against the scourge of terrorism. Our country deserves no less because all of the other issues we wanna deal with depend on us being secure and strong.
2,uncategorized,uncategorized,uncategorized,uncategorized,Governor O'Malley.
4,uncategorized,uncategorized,uncategorized,uncategorized,"My heart, like all of us in this room, John, and all the people across our country-- my hearts go out to the people of France in this moment of loss, parents and-- and-- and sons and daughters and family members. And-- as our hearts go out and as our prayers go out to them we must remember this, that this isn't the new face of conflict and warfare, not in the 20th century but the new face of conflict of warfare in the 21st century."
4,uncategorized,uncategorized,uncategorized,uncategorized,"And there is no nation on the planet better able to adapt to this change than our nation. We must be able to work collaboratively with others. We must anticipate these threats before they happen. This is the new sort of challenge, the new sort of threat that does, in fact, require new thinking, fresh approaches and new leadership. As a former mayor and a former governor, there was never a single day, John, when I went to bed or woke up without realizing that this could happen in our own country. We have a lot of work to do to better prepare our nation and to better lead this world into this new century."
2,uncategorized,uncategorized,uncategorized,uncategorized,"All right, thank you, Governor, thank all of you. The terror attacks last night underscore the biggest challenge facing the next President of the United States. At a time of crisis the country and the world look to the president for leadership and for answers. So Secretary Clinton, I'd like to start with you, hours before the attacks, President Obama said, ""I don't think ISIS is gaining strength."" 72% of Americans think the fight against ISIS is going badly. Won't the legacy of this administration which is-- which you were a part of-- won't that legacy be that it underestimated the threat from ISIS?"
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, John I think that-- we have to look at ISIS as the leading threat of an international terror network. It cannot be contained, it must be defeated. There is no question in my mind that if we summon our resources, both our leadership resources and all of the tools at our disposal, not just military force which should be used as a last resort, but our diplomacy, our development aid, law enforcement, sharing of intelligence in a much more-- open and cooperative way-- that we can bring people together."
1,uncategorized,uncategorized,uncategorized,uncategorized,"But it cannot be an American fight. And I think what the president has consistently said-- which I agree with-- is that we will support those who take the fight to ISIS. That is why we have troops in Iraq that are helping to train and build back up the Iraqi military, why we have special operators in Syria working with the Kurds and Arabs so that we can be supportive. But this cannot be an American fight, although American leadership is essential."
2,uncategorized,uncategorized,uncategorized,uncategorized,"But-- Secretary Cli-- Clinton, the question's about what-- was ISIS underestimated. And I'll-- I'll just add-- the president referred to ISIS as the JV team, you in a speech, the council in foreign relations in June of 2014 said, ""I could not have predicted the extent to which ISIS could be effective in seizing cities in Iraq."" So you've got prescriptions for the future. But how-- how do we know if those prescriptions are any good if you missed it in the past?"
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, John, look, I think that what happened when we abided by the agreement that George W. Bush-- made with the Iraqis to leave-- by 2011 is that an Iraqi army was left that had been trained and that was prepared to defend Iraq. Unfortunately, Nouri al-Maliki, the prime minister, set about decimating it."
1,uncategorized,uncategorized,uncategorized,uncategorized,And then with the revolution against Assad-- and I did early on say we needed to try to find a way to train and equip moderates very early so that we would have a better idea of how to deal with Assad because I thought there would be-- extremist groups filling the vacuum.
1,uncategorized,uncategorized,uncategorized,uncategorized,"So, yes, this has developed. I think that there are many other reasons why it has in addition-- to what happened in the region. But I don't think that the United States-- has the bulk of the responsibility. I really put that on Assad and on the Iraqis and on the region itself."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Okay, Governor O'Malley would you critique the administration's response to ISIS? If the United States doesn't lead, who leads?"
4,uncategorized,uncategorized,uncategorized,uncategorized,"John, I would-- I would disagree with-- with Secretary Clinton, respectfully, on this score. This actually is America's fight. It cannot solely be America's fight. America is best when we work in collaboration with our allies. America is best when we are actually standing up to evil in this world."
4,uncategorized,uncategorized,uncategorized,uncategorized,"And ISIS, make no mistake about it, is an evil in this world. ISIS has brought down a Russian airliner. ISIS is now attacked the western democracy in-- in France. And we do have a role in this. Not solely ours. But we must work collaboratively with other nations. The great failing of these last ten or 15 years, John, has been our failing of human intelligence on the ground. Our role in the world is not to roam the globe looking for new dictators to topple. Our role in the world is to make ourselves a beacon of hope, make ourselves stronger at home."
4,uncategorized,uncategorized,uncategorized,uncategorized,"But also our role in the world, yes, is also to confront evil when it rises. We took out the save haven in Afghanistan but now there is undoubtedly a larger safe haven. And we must rise to this occasion in collaboration and with alliances to confront it. And invest in the future much better human intelligence so we know what the next steps are."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Senator Sanders, you said you wanna rid the planet of ISIS. In the previous date you said the greatest threat to national security was climate change. Do you still believe that?"
3,uncategorized,uncategorized,uncategorized,uncategorized,"Absolutely. In fact, climate change is directly related to the growth of terrorism. And if we do not get our act together and listen to what the scientists say you're gonna see countries all over the world-- this is what the C.I.A. says, they're gonna be struggling over limited amounts of water, limited amounts of land to grow their crops. And you're gonna see all kinds of international conflict."
3,uncategorized,uncategorized,uncategorized,uncategorized,"But of course international terrorism is a major issue that we've got to address today. And I agree with much of what-- the secretary and-- and the governor have said. Only have one area of-- of disagreement with the secretary. I think she said something like, ""The bulk of the responsibility is not ours."""
3,uncategorized,uncategorized,uncategorized,uncategorized,"Well, in fact, I would argue that the disastrous invasion of Iraq, something that I strongly opposed, has unraveled the region completely. And led to the rise of Al Qaeda-- and to-- ISIS. Now, in fact, what we have got to do-- and I think there is widespread agreement here-- 'cause the United States cannot do it alone. What we need to do is lead an international coalition which includes-- very significantly--the Muslim nations in that region who are gonna have to fight and defend their way of life."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Quickly just-- let me ask you-- follow up on that, Senator Sanders, when you said the disastrous vote on Iraq-- let's just be clear about what you're saying, you're saying Secretary Clinton-- who was then Senator Clinton-- voted for the Iraq war. And are you making a direct link between her vote for that or-- and what's happening now for ISIS? Just so everybody--"
2,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
3,uncategorized,uncategorized,uncategorized,uncategorized,Oh I don't think any-- I don't think any sensible person would disagree that the invasion of Iraq led to the massive level of instability we are seeing right now.
3,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
3,uncategorized,uncategorized,uncategorized,uncategorized,I think that was one of the worst foreign policy blunders in the modern history of United States.
2,uncategorized,uncategorized,uncategorized,uncategorized,"All right, let's let Secretary Clinton respond to that."
1,uncategorized,uncategorized,uncategorized,uncategorized,"Thank you, John, well, I think it's important we put this in historic context. United States has unfortunately been victimized by terrorism going back decades. In the 1980s it was in Beirut, Lebanon under President Reagan's administration and 258 Americans, marines, embassy personnel and others were-- murdered."
1,uncategorized,uncategorized,uncategorized,uncategorized,"We also had attacks on two of our embassies in-- Tanzania and Kenya-- when my husband was president. Again, Americans murdered. And then of course 9/11 happened which happened before there was an invasion of Iraq. I have said the invasion of Iraq was a mistake. But I think if we're ever gonna really tackle the problems posed by jihadi extreme terrorism we need to understand it and realize that it had-- ans-- and antecedence to what happened in Iraq and we have to continue to be vigilant about it."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Senator Sanders, let me just follow this line of thinking. You've criticized then Senator Clinton's vote. Do you have anything to criticize in the way she performed as secretary of state?"
3,uncategorized,uncategorized,uncategorized,uncategorized,"I think we have a disagreement. And-- the disagreement is that not only did I vote against the war in Iraq, if you look at history, John, you will find the regime change-- whether it was in the early '50s in Iran, whether it was toppling Salvador Allende in Chile or whether it was overthrowing the government of Guatemala way back when-- these invasions, these-- these toppling of governments, regime changes have unintended consequences. I would say that on this issue I'm a little bit more conservative than the secretary."
2,uncategorized,uncategorized,uncategorized,uncategorized,All right.
3,uncategorized,uncategorized,uncategorized,uncategorized,And that I am not a great fan of regime changes.
2,uncategorized,uncategorized,uncategorized,uncategorized,Here let me go--
4,uncategorized,uncategorized,uncategorized,uncategorized,"John, may I-- may I interject here? Secretary Clinton also said that we left the h-- it was not just the invasion of Iraq which Secretary Clinton voted for and has since said was a big mistake, and indeed it was. But it was also the cascading effects that followed that."
4,uncategorized,uncategorized,uncategorized,uncategorized,It was also the disbanding of-- many elements of the Iraqi army that are now showing up as part of ISIS. It was-- country after country without making the investment in human intelligence to understand who the new leaders were and the new forces were that are coming up. We need to be much more far f-- thinking in this new 21st century era of-- of nation state failures and conflict. It's not just about getting rid of a single dictator. It is about understanding the secondary and third consequences that fall next.
2,uncategorized,uncategorized,uncategorized,uncategorized,"All right, Secretary."
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, and-- and of course each of these cases needs to be looked at individually and analyzed. Part of the problem that we have currently in the Middle East is that Assad has hung onto power-- with the very strong support of Russia and Iran and with the proxy of-- Hezbollah-- being there basically fighting his battles."
1,uncategorized,uncategorized,uncategorized,uncategorized,"So I don't think you can paint with a broad brush. This is an incredibly complicated region of the world. It's become more complicated. And many of the fights that are going on are not ones that the United States has either started or have a role in. The Shia-- Sunni split, the dictatorships that have suppressed people's aspirations, the increasing globalization without any real safety valve for people to have a better life. We saw that in Egypt. We saw a dictator overthrown, we saw Muslim Brotherhood president installed and then we saw him ousted and the army back. So I think we've got to understand the complexity of the world that we are facing and no places more so than in the Middle East."
2,uncategorized,uncategorized,uncategorized,uncategorized,"I understand. Quickly, Senator."
3,uncategorized,uncategorized,uncategorized,uncategorized,"The-- the secretary's obviously right. It is enormously complicated. But here's something that I believe we have to do is we put together an international coalition. And that is we have to understand that the Muslim nation in the region, Saudi Arabia, Iran, Turkey, Jordan, all of these nations, they're gonna just have to get their hands dirty, their boots on the ground."
3,uncategorized,uncategorized,uncategorized,uncategorized,"They are gonna have to take on ISIS. This is a war for the soul of Islam. And those countries who are opposed to Islam, they are gonna have to get deeply involved in a way that is not the case today. We should be supportive of that effort. So should the UK, so should France. But those Muslim countries are gonna have to lead the effort. They are not doing it now."
3,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, I think--"
1,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
1,uncategorized,uncategorized,uncategorized,uncategorized,I-- I think that is very unfair to a few that you mentioned-- most particularly Jordan which has put a lot on the line for the United States. It's also taken in hundreds of thousands of refugees from Syria and has been therefore subjected to threats and attacks-- by extremists themselves.
1,uncategorized,uncategorized,uncategorized,uncategorized,"I do agree that in particular Turkey and the Gulf Nations have got to make up their minds. Are they going to stand with us against this kind of jihadi radicalism or not? And there are many ways of doing it. They can provide sources, they can provide resources. But they need to be absolutely clear about where they stand."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Let me ask you-- Secretary Clinton a question about leadership. We're talking about what role does America take. Let me ask you about Libya. So Libya is a country in which ISIS has-- taken hold in part because of the chaos after Muammar Gaddafi, that was an operation you championed. President Obama says is the lesson he took from that operation. In an interview he said, ""The lesson was do we have an answer for the day after."""
2,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
2,uncategorized,uncategorized,uncategorized,uncategorized,--Wasn't that supposed to be one of the lessons that we learned after the Iraq war? And how did you get it wrong with Libya if the key lesson of the Iraq war is have a plan for after?
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, we did have a plan. And I think it's-- fair to say that-- of all of the Arab leaders Gaddafi probably had more blood on his hands of Americans than anybody else. And when he moved on his own people threatening-- a massacre, a genocide-- the Europeans and the Arabs, our allies and partners-- did ask for American help. And we provided it. And we didn't put a single boot on the ground. And-- Gaddafi was deposed."
1,uncategorized,uncategorized,uncategorized,uncategorized,The Libyans turned out for one of the most successful fairest elections that any Arab country has had. They elected moderate leaders. Now there has been a lot of turmoil and trouble as they have tried to deal with these radical elements which you find in this arc of instability from North Africa to Afghanistan. And it is imperative that we do more-- not only to help our friends and partners protect themselves and protect our own homeland-- but also to work to try to deal with this arc of instability which does have a lot of impact on what happens in a country like Libya.
2,uncategorized,uncategorized,uncategorized,uncategorized,"Governor O'Malley, I wanna ask you a question and you can add whatever you'd like to. But let me ask you, is the world too dangerous a place for a governor who has no foreign policy experience?"
4,uncategorized,uncategorized,uncategorized,uncategorized,"John, the world is a very dangerous place. But the world is not too dangerous of a place for the United States of America provided we act according to our principles, provided we act intelligently. I mean, let's talk about this arc of-- of instability that Secretary Clinton talked about."
4,uncategorized,uncategorized,uncategorized,uncategorized,"Libya is now a mess. Syria is a mess. Iraq is a mess. Afghanistan is a mess. As Americans we have shown ourselves-- to have the greatest military on the face of the planet. But we are not so very good at anticipating threats and appreciating just how difficult it is to build up stable democracies, to make the investments in sustainable development that we must as the nation if we are to attack the root causes of-- of the source of-- of instability."
4,uncategorized,uncategorized,uncategorized,uncategorized,"And I wanted to add one other thing, John, and I think it's important for all of us on this stage. I was in Burlington, Iowa and a mom of a service member of ours who served two duties in Iraq said, ""Governor O'Malley, please, when you're with your other candidates and colleagues on-- on stage, please don't use the term boots on Iraq-- on the ground. Please don't use the term boots on the ground. My son is not a pair of boots on the ground."""
4,uncategorized,uncategorized,uncategorized,uncategorized,"These are American soldiers and we fail them when we fail to take into account what happens the day after a dictator falls. And when we fall to act with a whole of government approach with sustainable development, diplomacy and our economic power in-- alignment with our principles."
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, I think it's perfectly-- fair to say that we invested quite a bit in development aid. Some of the bravest people that I had the privilege of working with as secretary of state were our development professionals who went sometimes alone, sometimes with our military into very dangerous places in Iraq, in Afghanistan-- elsewhere. So there does need to be a whole of government approach. But just because we're involved and we have a strategy doesn't mean we're going to be able to dictate the outcome. These are often very long-term kinds of-- investments that--"
1,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
3,uncategorized,uncategorized,uncategorized,uncategorized,"But when you talk about the long-term consequences of war let's talk about the men and women who came home from war. The 500,000 who came home with P.T.S.D. and traumatic brain injury. And I would hope that in the midst of all of this discussion this country makes certain that we do not turn our backs on the men and women who put their lives on the line to defend us. And that we stand with them as they have stood with us."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Secretary Clinton, you mentioned radical jihadists."
1,uncategorized,uncategorized,uncategorized,uncategorized,Yes.
2,uncategorized,uncategorized,uncategorized,uncategorized,"Marco Rubio, also running for president, said that this attack showed-- in-- the attack in Paris showed that we are at war with radical Islam. Do you agree with that characterization, radical Islam?"
1,uncategorized,uncategorized,uncategorized,uncategorized,I don't think we're at war with Islam. I don't think we're at war with all Muslims. I think we're at war with jihadists who have--
2,uncategorized,uncategorized,uncategorized,uncategorized,"Just to interrupt, he-- he didn't say all Muslims. He just said radical Islam. Is that a phrase you don't--"
1,uncategorized,uncategorized,uncategorized,uncategorized,I-- I think that you can-- you can talk about Islamists who-- clearly are also jihadists. But I think it's-- it-- it's not particularly helpful to make the case that-- Senator Sanders was just making that I agree with that we've gotta reach out to Muslim countries. We've gotta have them be part of our coalition.
1,uncategorized,uncategorized,uncategorized,uncategorized,"If they hear people running for-- president who basically shortcut it to say we are somehow against Islam-- that was one of the real contributions-- despite all the other problems that George W. Bush made after 9/11 when he basically said after going to a mosque in Washington, ""We are not at war with Islam or Muslims. We are at war with violent extremism. We are at war with people who use their religion for purposes of power and oppression."" And yes, we are at war with those people but I don't want us to be painting with too broad a brush."
1,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
2,uncategorized,uncategorized,uncategorized,uncategorized,The reason I ask is that you gave a speech at Georgetown University in which you said that it was important to show-- quote-- respect even for one's enemy. Trying to understand and in so far as psychologically possible empathize with their perspective and point of view. Can you explain what that means in the context of this kind of barbarism?
1,uncategorized,uncategorized,uncategorized,uncategorized,"I think with this kind of barbarism and nihilism-- it's very hard to understand other than the lust for power, the rejection of (unintel), the total disregard for human life-- freedom or any other value that we know and-- respect."
1,uncategorized,uncategorized,uncategorized,uncategorized,"Historically it is important to try to understand your adversary in order to figure out how they are thinking, what they will be doing, how they will react. I-- I plead -- that it's very difficult when you deal with-- ISIS and organizations like that whose-- whose behavior is so barbaric and so vicious-- that it doesn't seem to have any purpose other than lust for killing and power. And that's very difficult to put ourselves in other shoes."
1,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
2,uncategorized,uncategorized,uncategorized,uncategorized,"Very quickly, do either of you-- radical Islam, do either of you use that--"
2,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
2,uncategorized,uncategorized,uncategorized,uncategorized,phrase?
3,uncategorized,uncategorized,uncategorized,uncategorized,"I don't think the term is what's important. What is important to understand is we have organizations, whether it is ISIS or Al Qaeda who do believe we should go back several thousand years, we should make women third-class citizens, that we should allow children to be sexually assaulted, that they are a danger to modern society. And that this world with American leadership can and must come together to destroy them. We can do that."
4,uncategorized,uncategorized,uncategorized,uncategorized,John--
3,uncategorized,uncategorized,uncategorized,uncategorized,"And it requires an entire world to come together including, in a very active way, the Muslim nations."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Governor O'Malley, you've been making the case-- when you talk about lack of forward vision, you're essentially been saying that Secretary Clinton lacks that vision. And this critique matches up with this discussion of language. The critique is that the softness of language betrays a softness of approach. So if this language-- if you don't call it by what it is, how can your approach be effective to the cause. That's the critique."
4,uncategorized,uncategorized,uncategorized,uncategorized,"I believe calling it what it is, is to say radical jihadis, that's to call what it is. But John, let's not fall into the trap of thinking that all of our Muslim-American neighbors in this country are somehow our enemies here. They are our first line of defense."
4,uncategorized,uncategorized,uncategorized,uncategorized,And we are going to be able to defeat ISIS on the ground there as well as in this world-- because of the Muslim-Americans in our country and throughout the world who understand that this brutal and barbaric group is perverting the name of a great world religion. And now like we never before-- we need our Muslim-American neighbors to stand up and to-- and to be a part of this.
2,uncategorized,uncategorized,uncategorized,uncategorized,"Secretary Clinton, the-- French president has called this attack an act of war. A couple of days ago you were asked if you would declare war on ISIS and you said no. Would you-- would you-- what would you say now?"
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, we-- we have an authorization to use military force against terrorists. We-- passed it after 9/11."
2,uncategorized,uncategorized,uncategorized,uncategorized,And you think that covers all of it?
1,uncategorized,uncategorized,uncategorized,uncategorized,It-- it certainly does cover it. I-- I would like to see it updated.
2,uncategorized,uncategorized,uncategorized,uncategorized,If you were in the Senate-- if you were in the Senate would you be okay with-- the commander in chief doing that without coming back to you?
1,uncategorized,uncategorized,uncategorized,uncategorized,"No. It would have to go through the Congress. And I know the White House has actually been working with members of Congress. Maybe now we can get it moving again so that we can upgrade it so that it does include all the tools and everything in our arsenal that we can use to try to work with our allies and our friends, come up with better intelligence."
1,uncategorized,uncategorized,uncategorized,uncategorized,"You know, it is difficult finding intelligence that is actionable in a lot of these places. But we have to keep trying. And we have to do more to prevent the flood of foreign fighters who have gone to Syria, especially the ones with-- with western passports that come back. So there's a lot of work we need to do. And I wanna be sure that what's called the AUMF has the authority that is needed going forward."
1,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
2,uncategorized,uncategorized,uncategorized,uncategorized,Let me just-- let that is-- whatever you've got to say refugees. You've been a little vague about what you've done in the Syrian refugees.
2,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
2,uncategorized,uncategorized,uncategorized,uncategorized,"I mean, what's your view on them now--"
3,uncategorized,uncategorized,uncategorized,uncategorized,Let me pick up an issue that-- a very important issue that we have not yet discussed. This nation is the most powerful military in the world. We're spending over $600 billion a year on the military. And yet significantly less than 10% of that money is used to be fighting international terrorism.
3,uncategorized,uncategorized,uncategorized,uncategorized,"We are spending hundreds of billions of dollars maintaining 5,000 nuclear weapons. I think we need major reform in the military making it more cost effective but also focusing on the real crisis that faces us. The Cold War is over and our focus has got to be on intelligence, increased manpower, fighting international terrorism."
3,uncategorized,uncategorized,uncategorized,uncategorized,"In terms of refugees I believe that the United States has the moral responsibility with Europe, with Gulf countries like Saudi Arabia to make sure that when people leave countries like Afghanistan and Syria with nothing more than the clothing on their back that of course we reach out. Now what the magic number is, I don't know. Because we don't know the extent of the problem. But I certainly think that the United States should take its full responsibility in helping those."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Governor O'Malley, you have a magic number. I think it's 65,000. Does that number go up or down based on what happened yesterday?"
4,uncategorized,uncategorized,uncategorized,uncategorized,"John, I was the first person on this stage to say that we should accept the 65,000 Syrian refugees that were s-- were fleeing the sort of murder of-- of ISIL. And I believe that that needs to be done with proper screening. But accommodating 65,000 refugees in our country today, people of 320 million is akin to making room for six and a half more people in a baseball stadium with 32,000."
4,uncategorized,uncategorized,uncategorized,uncategorized,"There are other ways to lead and to be a moral leader in this world rather than at the opposite end of a drone strike. But I would want to agree with something that Senator Sanders says, the nature of warfare has changed. This is not a conflict where we send in the third divisions of marines. This is-- a new era of conflict where traditional ways of-- of huge standing armies are not as-- serve our purposes as well as special ops, better intelligence and being more proactive."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Just very quickly, 65,000, the number stays?"
4,uncategorized,uncategorized,uncategorized,uncategorized,That's what I understand is the request from the international--
4,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
2,uncategorized,uncategorized,uncategorized,uncategorized,But-- what would you want?
4,uncategorized,uncategorized,uncategorized,uncategorized,I would want us to take our place among the nations of the world to alleviate the sorta death and the-- the-- the specter we saw--
4,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
4,uncategorized,uncategorized,uncategorized,uncategorized,"--little kids, fathers walking up on a beach."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Secretary Clinton, let me ask you a question from Twitter that's come in. And this is a question on this issue of-- of refugees. The question is with the U.S. preparing to absorb Syrian refugees, how do you propose we screen those coming in to keep our citizens safe?"
1,uncategorized,uncategorized,uncategorized,uncategorized,I think that is the number one requirement. I also said that we should take-- increased numbers of refugees. The administration originally said ten. I said we should go to 65 but only if we have as carefully screening and vetting process as we can imagine whatever resources it takes.
1,uncategorized,uncategorized,uncategorized,uncategorized,"Because I do not want us to-- in any way-- inadvertently allow people who wish us harm to come into our country. But I wanna say a quick word about what-- Senator Sanders and-- and then O-- and Governor O'Malley said. We do have to take a hard look at the defense budget. And we do have to figure out how we get ready to fight the adversaries of the future, not the past. But we have to also be very clear that we do have some continuing challenges. We got challenges in the South China Sea because of what China is doing in building up-- these-- military installations."
1,uncategorized,uncategorized,uncategorized,uncategorized,We have problems with Russia. Just the other day Russia allowed a-- television camera to see the plans for a drone submarine that could carry a tactical nuclear weapon. So we've gotta look at the full range and then come to some smart decisions about have-- having more streamlined and focused--
1,uncategorized,uncategorized,uncategorized,uncategorized,(OVERTALK)
2,uncategorized,uncategorized,uncategorized,uncategorized,"Senator Sanders, I'm sorry, we're gonna have to take a break now. We will have more of the Democratic debate here from Drake University in Des Moines, (APPLAUSE) Iowa."
2,uncategorized,uncategorized,uncategorized,uncategorized,[COMMERCIAL BREAK]
2,uncategorized,uncategorized,uncategorized,uncategorized,"Wanna turn now from terrorism to another important issue for many Americans, the financial squeeze on the middle class. For that, we go to my CBS News colleague, Nancy Cordes. Nancy?"
2,uncategorized,uncategorized,uncategorized,uncategorized,"John, thanks so much. We've learned a lot during the course of this campaign about the things that you'd like to do-- that you think help the middle class. So we haven't learned quite as much about who would pick up the tab. So Secretary Clinton, first to you, you want to cap individual subscription drug costs at $250 a month. You want to make c-- public college debt free. You want community college to be free altogether and you want mandatory paid family leave. So who pays for all of that? Is it employers? Is it the taxpayers? And which taxpayers?"
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, first of all, it isn't the middle class. I have made very clear that-- hard-working, middle class families need a raise, not a tax increase. In fact-- wages adjusted for inflation haven't risen since-- the turn of the last century after my husband's administration. So we have a lot of work to do to get jobs going again, get incomes rising again."
1,uncategorized,uncategorized,uncategorized,uncategorized,"And I have laid out specific plans. You can go to my website, HillaryClinton.com and read the details. And I will pay for it by, yes, taxing the wealthy more, closing corporate loopholes, deductions and other kinds of favorable treatment. And I can do it without raising the debt, without raising taxes on the middle class and making it reasonably-- manageable within our budget so that we can be fiscally responsible at the same time."
2,uncategorized,uncategorized,uncategorized,uncategorized,But a quick follow-up on that $250 a month a cap. Wouldn't the pharmaceutical companies and insurance companies just pass that cost onto the consumers in the form of higher premiums?
1,uncategorized,uncategorized,uncategorized,uncategorized,"Well, we're gonna have to redo the way the prescription drug-- industry does business. For example, it is outrageous that we don't have an opportunity for Medicare to negotiate for lower prices. In fact, American-- consumers pay the highest prices in the world for drugs that we helped to be developed through the National Institutes of Health and that we then tested through the FDA. So there's more to my plan than just the cap. We have to go after price gouging and monopolistic practices and get Medicare the authority to negotiate."
2,uncategorized,uncategorized,uncategorized,uncategorized,"Governor O'Malley, you also want to make public college debt free, you want to--"
