index,speaker,speaker_name,topic,text
89,trump,,supreme-court,And it was a well-crafted decision.
90,trump,,h-clinton,"But Hillary was extremely upset, extremely angry."
91,trump,,"guns, h-clinton",And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say.
92,moderator,,h-clinton," Well, let me bring in Secretary Clinton."
93,moderator,,"question, past",Were you extremely upset?
94,clinton,,"children, safety, guns"," Well, I was upset because, unfortunately, dozens of toddlers injure themselves, even kill people with guns, because, unfortunately, not everyone who has loaded guns in their homes takes appropriate precautions."
95,clinton,,"guns, freedom","But there's no doubt that I respect the Second Amendment, that I also believe there's an individual right to bear arms."
96,clinton,,guns,"That is not in conflict with sensible, commonsense regulation."
97,clinton,,trump,"And, you know, look, I understand that Donald's been strongly supported by the NRA."
98,clinton,,guns,The gun lobby's on his side.
99,clinton,,election,They're running millions of dollars of ads against me.
100,clinton,,guns,"And I regret that, because what I would like to see is for people to come together and say:  Of course we're going to protect and defend the Second Amendment."
101,clinton,,"safety, guns","But we're going to do it in a way that tries to save some of these 33,000 lives that we lose every year."
102,moderator,,"trump, guns"," Let me bring Mr. Trump back into this, because, in fact, you oppose any limits on assault weapons, any limits on high- capacity magazines."
103,moderator,,guns,You support a national right to carry law.
104,trump,,"crime, guns","In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city."
105,trump,,"crime, guns","So we have the toughest laws, and you have tremendous gun violence."
106,trump,,guns,I am a very strong supporter of the Second Amendment.
107,trump,,"h-clinton, guns","And I am I don't know if Hillary was saying it in a sarcastic manner, but I'm very proud to have the endorsement of the NRA."
108,trump,,election,And it's the earliest endorsement they've ever given to anybody who ran for president.
109,trump,,misc,So I'm very honored by all of that.
110,trump,,"supreme-court, guns",We are going to appoint justices this is the best way to help the Second Amendment.
111,trump,,"supreme-court, guns","We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment."
112,moderator,,"supreme-court, women"," Well, let's pick up on another issue which divides you and the justices that whoever ends up winning this election appoints could have a dramatic effect there, and that's the issue of abortion."
113,moderator,,"question, trump"," Mr. Trump, you're pro-life."
114,moderator,,"question, supreme-court, women","But I want to ask you specifically: Do you want the court, including the justices that you will name, to overturn Roe v."
115,moderator,,"question, supreme-court, women","Wade, which includes in fact, states a woman's right to abortion?"
116,trump,,"supreme-court, women"," Well, if that would happen, because I am pro-life, and I will be appointing pro-life judges, I would think that that will go back to the individual states."
117,moderator,,trump, But I'm asking you specifically.
118,trump,,"supreme-court, women"," If they overturned it, it will go back to the states."
119,moderator,,"supreme-court, guns, women"," But what I'm asking you, sir, is, do you want to see the court overturn you just said you want to see the court protect the Second Amendment."
120,moderator,,"supreme-court, women, past",Do you want to see the court overturn Roe v.
121,trump,,"supreme-court, women"," Well, if we put another two or perhaps three justice on, that's really what's going to be that will happen."
122,trump,,"supreme-court, women","And that'll happen automatically, in my opinion, because I am putting pro-life justices on the court."
123,trump,,misc,"I will say this: It will go back to the states, and the states will then make a determination."
124,moderator,,h-clinton, Secretary Clinton?
125,clinton,,"supreme-court, women, healthcare, past"," Well, I strongly support Roe v. Wade, which guarantees a constitutional right to a woman to make the most intimate, most difficult, in many cases, decisions about her health care that one can imagine."
126,clinton,,"women, healthcare, past","And in this case, it's not only about Roe v. Wade."
127,clinton,,america,It is about what's happening right now in America.
128,clinton,,"women, healthcare","So many states are putting very stringent regulations on women that block them from exercising that choice to the extent that they are defunding Planned Parenthood, which, of course, provides all kinds of cancer screenings and other benefits for women in our country."
129,clinton,,"trump, healthcare",Donald has said he's in favor of defunding Planned Parenthood.
130,clinton,,"trump, healthcare",He even supported shutting the government down to defund Planned Parenthood.
131,clinton,,healthcare,I will defend Planned Parenthood.
132,clinton,,"past, women, healthcare",I will defend Roe v.
133,clinton,,"women, healthcare","Wade, and I will defend women's rights to make their own health care decisions."
134,moderator,,h-clinton, Secretary Clinton...
135,clinton,,misc, And we have come too far to have that turned back now.
136,clinton,,"women, healthcare","And, indeed, he said women should be punished, that there should be some form of punishment for women who obtain abortions."
137,clinton,,"women, healthcare",And I could just not be more opposed to that kind of thinking.
138,moderator,,"supreme-court, healthcare"," I'm going to give you a chance to respond, but I want to ask you, Secretary Clinton, I want to explore how far you believe the right to abortion goes."
139,moderator,,equality,You have been quoted as saying that the fetus has no constitutional rights.
140,moderator,,healthcare,"You also voted against a ban on late-term, partial-birth abortions."
141,clinton,,"past, women, healthcare", Because Roe v. Wade very clearly sets out that there can be regulations on abortion so long as the life and the health of the mother are taken into account.
142,clinton,,healthcare,"And when I voted as a senator, I did not think that that was the case."
143,clinton,,women,"The kinds of cases that fall at the end of pregnancy are often the most heartbreaking, painful decisions for families to make."
144,clinton,,women,"I have met with women who toward the end of their pregnancy get the worst news one could get, that their health is in jeopardy if they continue to carry to term or that something terrible has happened or just been discovered about the pregnancy."
145,clinton,,america,I do not think the United States government should be stepping in and making those most personal of decisions.
146,clinton,,"women, healthcare",So you can regulate if you are doing so with the life and the health of the mother taken into account.
147,moderator,,trump," Mr. Trump, your reaction?"
148,moderator,,healthcare,"And particularly on this issue of late-term, partial-birth abortions."
149,trump,,misc," Well, I think it's terrible."
150,trump,,h-clinton,"If you go with what Hillary is saying, in the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby."
151,trump,,h-clinton,"Now, you can say that that's  OK and Hillary can say that that's  OK."
152,trump,,women,"But it's not  OK with me, because based on what she's saying, and based on where she's going, and where she's been, you can take the baby and rip the baby out of the womb in the ninth month on the final day."
153,trump,,misc,And that's not acceptable.
154,clinton,,past," Well, that is not what happens in these cases."
155,clinton,,misc,And using that kind of scare rhetoric is just terribly unfortunate.
156,clinton,,misc,"You should meet with some of the women that I have met with, women I have known over the course of my life."
157,clinton,,women,This is one of the worst possible choices that any woman and her family has to make.
158,clinton,,america,And I do not believe the government should be making it.
159,clinton,,america,"You know, I've had the great honor of traveling across the world on behalf of our country."
160,clinton,,"women, china","I've been to countries where governments either forced women to have abortions, like they used to do in China, or forced women to bear children, like they used to do in Romania."
161,clinton,,women,"And I can tell you: The government has no business in the decisions that women make with their families in accordance with their faith, with medical advice."
162,clinton,,misc,And I will stand up for that right.
163,moderator,,misc,"But just briefly, I want to move on to another segment..."
164,trump,,misc," And, honestly, nobody has business doing what I just said, doing that, as late as one or two or three or four days prior to birth."
165,moderator,,immigration,Let's move on to the subject of immigration.
166,moderator,,immigration,And there is almost no issue that separates the two of you more than the issue of immigration.
167,moderator,,question,"Actually, there are a lot of issues that separate the two of you."
168,moderator,,"question, border","Mr. Trump, you want to build a wall."
169,moderator,,"question, h-clinton, border","Secretary Clinton, you have offered no specific plan for how you want to secure our southern border."
170,moderator,,"question, trump","Mr. Trump, you are calling for major deportations."
171,moderator,,"question, h-clinton, immigration","Secretary Clinton, you say that within your first 100 days as president you're going to offer a package that includes a pathway to citizenship."
172,moderator,,question,"The question, really, is, why are you right and your opponent wrong?"
173,moderator,,"question, trump","Mr. Trump, you go first in this segment."
174,moderator,,misc,You have two minutes.
175,trump,,"h-clinton, immigration"," Well, first of all, she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years."
176,trump,,border,We need strong borders.
177,trump,,"children, crime, immigration","In the audience tonight, we have four mothers of I mean, these are unbelievable people that I've gotten to know over a period of years whose children have been killed, brutally killed by people that came into the country illegally."
178,trump,,america,You have thousands of mothers and fathers and relatives all over the country.
179,trump,,immigration,They're coming in illegally.
180,trump,,"drugs, border",Drugs are pouring in through the border.
181,trump,,"america, border",We have no country if we have no border.
182,trump,,h-clinton,Hillary wants to give amnesty.
183,trump,,border,She wants to have open borders.
184,trump,,border,"The border as you know, the Border Patrol agents, 16,500-plus ICE last week, endorsed me."
185,trump,,election,First time they've ever endorsed a candidate.
186,trump,,border,It means their job is tougher.
187,trump,,misc,But they know what's going on.
188,trump,,border,They want strong borders.
189,trump,,border,They feel we have to have strong borders.
190,trump,,misc,I was up in New Hampshire the other day.
191,trump,,"h-clinton, obama","The biggest complaint they have it's with all of the problems going on in the world, many of the problems caused by Hillary Clinton and by Barack Obama."
192,trump,,"drugs, border",All of the problems the single biggest problem is heroin that pours across our southern border.
193,trump,,"children, drugs",It's just pouring and destroying their youth.
194,trump,,"children, drugs",It's poisoning the blood of their youth and plenty of other people.
195,trump,,border,We have to have strong borders.
196,trump,,"drugs, america",We have to keep the drugs out of our country.
197,trump,,drugs,"We are right now, we're getting the drugs, they're getting the cash."
198,trump,,border,We need strong borders.
199,trump,,crime,We need absolute we cannot give amnesty.
200,trump,,border,"Now, I want to build the wall."
201,trump,,border,We need the wall.
202,trump,,border,"And the Border Patrol, ICE, they all want the wall."
203,trump,,border,We stop the drugs.
204,trump,,border,We shore up the border.
205,trump,,"drugs, crime, immigration","One of my first acts will be to get all of the drug lords, all of the bad ones we have some bad, bad people in this country that have to go out."
206,trump,,"immigration, border",We're going to get them out; we're going to secure the border.
207,trump,,border,"And once the border is secured, at a later date, we'll make a determination as to the rest."
208,trump,,"border, racism","But we have some bad hombres here, and we're going to get them out."
209,moderator,,trump," Mr. Trump, thank you."
210,moderator,,"question, h-clinton","Same question to you, Secretary Clinton."
211,moderator,,"question, trump","Basically, why are you right and Mr. Trump is wrong?"
212,clinton,,"immigration, children"," Well, as he was talking, I was thinking about a young girl I met here in Las Vegas, Carla, who is very worried that her parents might be deported, because she was born in this country but they were not."
213,clinton,,immigration,"They work hard, they do everything they can to give her a good life."
214,clinton,,misc,And you're right.
215,clinton,,children,I don't want to rip families apart.
216,clinton,,children,I don't want to be sending parents away from children.
217,clinton,,"trump, america",I don't want to see the deportation force that Donald has talked about in action in our country.
218,clinton,,immigration,We have 11 million undocumented people.
219,clinton,,children,"They have 4 million American citizen children, 15 million people."
220,clinton,,immigration,He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation.
221,clinton,,misc,"Now, here's what that means."
222,clinton,,police,"It means you would have to have a massive law enforcement presence, where law enforcement officers would be going school to school, home to home, business to business, rounding up people who are undocumented."
223,clinton,,"immigration, america","And we would then have to put them on trains, on buses to get them out of our country."
224,clinton,,america,I think that is an idea that is not in keeping with who we are as a nation.
225,clinton,,america,I think it's an idea that would rip our country apart.
226,clinton,,border,I have been for border security for years.
227,clinton,,"border, america",I voted for border security in the United States Senate.
228,clinton,,"immigration, border",And my comprehensive immigration reform plan of course includes border security.
229,clinton,,crime,But I want to put our resources where I think they're most needed: Getting rid of any violent person.
230,clinton,,immigration,"Anybody who should be deported, we should deport them."
231,clinton,,"trump, border","When it comes to the wall that Donald talks about building, he went to Mexico, he had a meeting with the Mexican president."
232,clinton,,misc,Didn't even raise it.
233,clinton,,"trump, border",He choked and then got into a Twitter war because the Mexican president said we're not paying for that wall.
234,clinton,,immigration,So I think we are both a nation of immigrants and we are a nation of laws and that we can act accordingly.
235,clinton,,immigration,And that's why I'm introducing comprehensive immigration reform within the first 100 days with the path to citizenship.
236,moderator,,h-clinton," Thank you, Secretary Clinton."
237,moderator,,misc,I want to follow up...
238,trump,,misc," Chris, I think it's..."
239,trump,,misc, I think I should respond to that.
240,trump,,trump,"First of all, I had a very good meeting with the president of Mexico."
241,trump,,misc,Very nice man.
242,trump,,trade,We will be doing very much better with Mexico on trade deals.
243,trump,,"trade, h-clinton","The NAFTA deal signed by her husband is one of the worst deals ever made of any kind, signed by anybody."
244,trump,,misc,It's a disaster.
245,trump,,"h-clinton, border",Hillary Clinton wanted the wall.
246,trump,,"h-clinton, border",Hillary Clinton fought for the wall in 2006 or thereabouts.
247,trump,,"h-clinton, border","Now, she never gets anything done, so naturally the wall wasn't built."
248,trump,,"h-clinton, border",But Hillary Clinton wanted the wall.
249,moderator,,misc," Well, let me wait, wait, sir, let me..."
250,trump,,america, We are a country of laws.
251,moderator,,misc," Now, wait."
252,moderator,,misc,I'd like to hear from...
253,trump,,h-clinton," Well well, but she said one thing."
254,moderator,,h-clinton, I'd like to hear I'd like to hear from Secretary Clinton.
255,clinton,,"border, security"," I voted for border security, and there are..."
256,trump,,border, And the wall.
257,clinton,,border, There are some limited places where that was appropriate.
258,clinton,,border,There also is necessarily going to be new technology and how best to deploy that.
259,clinton,,"trump, immigration, drugs, crime","But it is clear, when you look at what Donald has been proposing, he started his campaign bashing immigrants, calling Mexican immigrants rapists and criminals and drug dealers, that he has a very different view about what we should do to deal with immigrants."
260,clinton,,"immigration, jobs, economy","Now, what I am also arguing is that bringing undocumented immigrants out from the shadows, putting them into the formal economy will be good, because then employers can't exploit them and undercut Americans' wages."
261,clinton,,trump,And Donald knows a lot about this.
262,clinton,,"trump, jobs",He used undocumented labor to build the Trump Tower.
263,clinton,,"trump, jobs, immigration","He underpaid undocumented workers, and when they complained, he basically said what a lot of employers do: You complain, I'll get you deported."
264,clinton,,"economy, jobs, immigration, trump","I want to get everybody out of the shadows, get the economy working, and not let employers like Donald exploit undocumented workers, which hurts them, but also hurts American workers."
265,moderator,,trump, Mr. Trump?
266,trump,,"obama, immigration", President Obama has moved millions of people out.
267,trump,,misc,"Nobody knows about it, nobody talks about it."
268,trump,,"obama, immigration","But under Obama, millions of people have been moved out of this country."
269,trump,,immigration,They've been deported.
270,trump,,h-clinton,"She doesn't want to say that, but that's what's happened, and that's what happened big league."
271,trump,,"immigration, america",As far as moving these people out and moving we either have a country or we don't.
272,trump,,america,We're a country of laws.
273,trump,,border,We either have a border or we don't.
274,trump,,immigration,"Now, you can come back in and you can become a citizen."
275,trump,,misc,But it's very unfair.
276,trump,,immigration,We have millions of people that did it the right way.
277,trump,,misc,They're on line.
278,trump,,misc,They're waiting.
279,trump,,immigration,"We're going to speed up the process, big league, because it's very inefficient."
280,trump,,immigration,But they're on line and they're waiting to become citizens.
281,trump,,border,"Very unfair that somebody runs across the border, becomes a citizen, under her plan, you have open borders."
282,trump,,"trade, border","You would have a disaster on trade, and you will have a disaster with your open borders."
283,trump,,"obama, immigration", But what she doesn't say is that President Obama has deported millions and millions of people just the way it is.
284,moderator,,h-clinton," Secretary Clinton, I want to..."
285,clinton,,border, We will not have open borders.
286,moderator,,h-clinton," Well, let me Secretary..."
287,moderator,,h-clinton, Secretary Clinton...
288,clinton,,border," We will have secure borders, but we'll also have reform."
289,clinton,,misc,And this used to be a bipartisan issue.
290,clinton,,past,Ronald Reagan was the last president...
291,moderator,,h-clinton," Secretary Clinton, excuse me."
292,moderator,,h-clinton,Secretary Clinton.
293,clinton,,"immigration, past"," ... to sign immigration reform, and George W."
294,clinton,,immigration,"Bush supported it, as well."
295,moderator,,h-clinton,"Secretary Clinton, I want to clear up your position on this issue, because in a speech you gave to a Brazilian bank, for which you were paid $225,000, we've learned from the WikiLeaks, that you said this, and I want to quote."
296,moderator,,"economy, trade, border",My dream is a hemispheric common market with open trade and open borders.’
297,moderator,,question,So that's the question...
298,moderator,,question, That's the question.
299,moderator,,misc,"Please quiet, everybody."
300,moderator,,"question, border","Is that your dream, open borders?"
301,clinton,,energy," Well, if you went on to read the rest of the sentence, I was talking about energy."
302,clinton,,"energy, trade","You know, we trade more energy with our neighbors than we trade with the rest of the world combined."
303,clinton,,"energy, border","And I do want us to have an electric grid, an energy system that crosses borders."
304,clinton,,trade,I think that would be a great benefit to us.
305,clinton,,misc,But you are very clearly quoting from WikiLeaks.
306,clinton,,russia,And what's really important about WikiLeaks is that the Russian government has engaged in espionage against Americans.
307,clinton,,america,"They have hacked American websites, American accounts of private people, of institutions."
308,clinton,,america,Then they have given that information to WikiLeaks for the purpose of putting it on the Internet.
309,clinton,,"america, election","This has come from the highest levels of the Russian government, clearly, from Putin himself, in an effort, as 17 of our intelligence agencies have confirmed, to influence our election."
310,clinton,,"russia, trump, election"," So I actually think the most important question of this evening, Chris, is, finally, will Donald Trump admit and condemn that the Russians are doing this and make it clear that he will not have the help of Putin in in this election, that he rejects Russian espionage against Americans, which he actually encouraged in the past?"
311,clinton,,question,Those are the questions we need answered.
312,clinton,,election,We've never had anything like this happen in any of our elections before.
313,trump,,"border, h-clinton"," That was a great pivot off the fact that she wants open borders,  OK?"
314,trump,,putin,How did we get on to Putin?
315,moderator,,misc," Hold on hold on, wait."
316,moderator,,misc,"Hold on, folks."
317,moderator,,misc,Because we this is going to end up getting out of control.
318,moderator,,america,Let's try to keep it quiet so for the candidates and for the American people.
319,trump,,border, So just to finish on the borders...
320,trump,,"border, h-clinton", She wants open borders.
321,trump,,"america, immigration",People are going to pour into our country.
322,trump,,syria,People are going to come in from Syria.
323,trump,,"h-clinton, obama, immigration","She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people."
324,trump,,misc,They have no idea where they come from.
325,trump,,terrorism,"And you see, we are going to stop radical Islamic terrorism in this country."
326,trump,,obama,"She won't even mention the words, and neither will President Obama."
327,trump,,border,"So I just want to tell you, she wants open borders."
328,trump,,putin,Now we can talk about Putin.
329,trump,,putin,I don't know Putin.
330,trump,,putin,He said nice things about me.
331,trump,,putin,"If we got along well, that would be good."
332,trump,,"russia, isis","If Russia and the United States got along well and went after ISIS, that would be good."
333,trump,,"putin, h-clinton",He has no respect for her.
334,trump,,"putin, obama",He has no respect for our president.
335,trump,,military,"And I'll tell you what: We're in very serious trouble, because we have a country with tremendous numbers of nuclear warheads 1,800, by the way where they expanded and we didn't, 1,800 nuclear warheads."
336,trump,,h-clinton,And she's playing chicken.
337,trump,,putin,"Look, Putin..."
338,moderator,,misc," Wait, but..."
339,trump,,h-clinton," ... from everything I see, has no respect for this person."
340,clinton,,"putin, america"," Well, that's because he'd rather have a puppet as president of the United States."
341,trump,,misc, No puppet.
342,clinton,,misc, And it's pretty clear...
343,trump,,misc, You're the puppet!
344,clinton,,misc, It's pretty clear you won't admit...
345,trump,,misc," No, you're the puppet."
346,clinton,,"russia, crime, america, putin"," ... that the Russians have engaged in cyberattacks against the United States of America, that you encouraged espionage against our people, that you are willing to spout the Putin line, sign up for his wish list, break up NATO, do whatever he wants to do, and that you continue to get help from him, because he has a very clear favorite in this race."
347,clinton,,misc,So I think that this is such an unprecedented situation.
348,clinton,,election,We've never had a foreign government trying to interfere in our election.
349,clinton,,"russia, election","We have 17 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin and they are designed to influence our election."
350,clinton,,misc,I find that deeply disturbing.
351,moderator,,h-clinton, Secretary Clinton...
352,clinton,,misc, And I think it's time you take a stand...
353,trump,,"russia, china"," She has no idea whether it's Russia, China, or anybody else."
354,clinton,,misc, I am not quoting myself.
355,trump,,h-clinton, She has no idea.
356,clinton,,military,I am quoting 17...
357,trump,,h-clinton," Hillary, you have no idea."
358,clinton,,military,... 17 intelligence do you doubt 17 military and civilian...
359,trump,,america, And our country has no idea.
360,clinton,,misc, ... agencies.
361,trump,,misc," Yeah, I doubt it."
362,trump,,misc,I doubt it.
363,clinton,,"putin, military"," Well, he'd rather believe Vladimir Putin than the military and civilian intelligence professionals who are sworn to protect us."
364,clinton,,misc,I find that just absolutely...
365,trump,,putin,(CROSSTALK)  TRUMP: She doesn't like Putin because Putin has outsmarted her at every step of the way.
366,moderator,,trump, Mr. Trump...
367,trump,,misc, Excuse me.
368,trump,,"putin, syria",Putin has outsmarted her in Syria.
369,moderator,,trump, Mr. Trump...
370,trump,,putin,(CROSSTALK)  TRUMP: He's outsmarted her every step of the way.
371,moderator,,misc, I do get to ask some questions.
372,trump,,misc," Yes, that's fine."
373,moderator,,misc, And I would like to ask you this direct question.
374,moderator,,russia,The top national security officials of this country do believe that Russia has been behind these hacks.
375,moderator,,"russia, election","Even if you don't know for sure whether they are, do you condemn any interference by Russia in the American election?"
376,trump,,russia, By Russia or anybody else.
377,moderator,,russia, You condemn their interference?
378,trump,,election,Of course I condemn.
379,trump,,putin,Of course I I don't know Putin.
380,trump,,misc,I have no idea.
381,moderator,,election, I'm not asking I'm asking do you condemn?
382,trump,,putin, I never met Putin.
383,trump,,"russia, america","But if the United States got along with Russia, wouldn't be so bad."
384,trump,,"putin, h-clinton, obama","Let me tell you, Putin has outsmarted her and Obama at every single step of the way."
385,trump,,syria,"Whether it's Syria, you name it."
386,trump,,russia,Take a look at the start up' that they signed.
387,trump,,russia,"The Russians have said, according to many, many reports, I can't believe they allowed us to do this."
388,trump,,military,"They create warheads, and we can't."
389,trump,,russia,The Russians can't believe it.
390,trump,,"h-clinton, putin",She has been outsmarted by Putin.
391,trump,,m-east,And all you have to do is look at the Middle East.
392,trump,,misc,They've taken over.
393,trump,,deficit,We've spent $6 trillion.
394,trump,,m-east,They've taken over the Middle East.
